Taxon (original name);Taxon (revised nomenclature);Family name;Pollen habit (code);Pollen habit (name);Plant habit
Lippia;Lippia-type;VERBENACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect shrubs, subshrubs or perennial herbs
Lippia multifolora;Lippia-type multiflora;VERBENACEAE;I;undifferentiated (tree, shrub, herb, liana..);robust woody perennial herb or shrub, 0.9-3.6 m tall
Verbemaceae;Verbenaceae undiff.;VERBENACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or woody climbers, sometimes thorny
Verbenaceae;Verbenaceae undiff.;VERBENACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or woody climbers, sometimes thorny
Verbenaceae undiff.;Verbenaceae undiff.;VERBENACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or woody climbers, sometimes thorny
Hybanthus-type;Hybanthus-type;VIOLACEAE;I;undifferentiated (tree, shrub, herb, liana..);shrub or herb
Ampelidaceae;Vitaceae undiff.;VITACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect, trailing or climbing perennial herbs or shrubs, or woody climbers
Cf Cissus;Cissus;VITACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect or climbling perennial herbs or shrubs, sometimes succulent
Cissus;Cissus;VITACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect or climbling perennial herbs or shrubs, sometimes succulent
Cissus / Vitaceae-type;Cissus;VITACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect or climbling perennial herbs or shrubs, sometimes succulent
Cissus sp.;Cissus;VITACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect or climbling perennial herbs or shrubs, sometimes succulent
Cissus-type;Cissus;VITACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect or climbling perennial herbs or shrubs, sometimes succulent
Cyphostemma*;Cyphostemma-type;VITACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect, trailing or climbing perennial herbs, rarely woody climbers or succulent shrubs
Vitaceae;Vitaceae undiff.;VITACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect, trailing or climbing perennial herbs or shrubs, or woody climbers
Quisqualis-type indica;Combretum-type indicum;COMBRETACEAE;AL;tree/climber;(climbing) shrub
Agelaea obliqua;Agelaea-type pentagyna;CONNARACEAE;L;liana;large liane
Momordica;Momordica-type;CUCURBITACEAE;L;liana;small to large climbers
Mormodica;Momordica-type;CUCURBITACEAE;L;liana;small to large climbers
Tetracera alnifolia;Tetracera alnifolia-type;DILLENIACEAE;L;liana;large woody liane up to 15 m or more tall
Calopogonium mucunoides;Calopogonium mucunoides;FABACEAE;L;liana;climber
Millettia barteri;Millettia-type barteri;FABACEAE;L;liana;woody climber
Vatovaea cf. pseudolablab;Vatovaea-type pseudolablab;FABACEAE;L;liana;woody climber
Flagellaria;Flagellaria;FLAGELLARIACEAE;L;liana;scandent lianes
Flagellaria guineensis-type;Flagellaria guineensis-type;FLAGELLARIACEAE;L;liana;scandent climber up to 5 (-10) m high
Illigera;Illigera;HERNANDIACEAE;L;liana;lianas
Acridocarpus smeathmannii;Acridocarpus smeathmannii-type;MALPIGHIACEAE;L;liana;strong woody climber up to 7 m or more long
Flabellaria;Flabellaria-type paniculata;MALPIGHIACEAE;L;liana;tall climber up to 15 m long
Flabellaria sp.;Flabellaria-type paniculata;MALPIGHIACEAE;L;liana;tall climber up to 15 m long
Flabellaria-type;Flabellaria-type paniculata;MALPIGHIACEAE;L;liana;tall climber up to 15 m long
Flabellariopsis acuminata;Flabellariopsis acuminata;MALPIGHIACEAE;L;liana;strong woody climber up to 6 m long
Tristellateia;Tristellateia-type;MALPIGHIACEAE;L;liana;woody climber up to 5 m long
cf. Cocculus (P3cp 17);Cocculus;MENISPERMACEAE;L;liana;prostrate or erect woody climbers
Cissampelos mucronata;Cissampelos-type mucronata;MENISPERMACEAE;L;liana;herbaceous or woody climber
Cissampelos type mucronata;Cissampelos-type mucronata;MENISPERMACEAE;L;liana;herbaceous or woody climber
CISSAMPELOS* MUCRONATA;Cissampelos-type mucronata;MENISPERMACEAE;L;liana;herbaceous or woody climber
Eriocoelum;Eriocoelum;SAPINDACEAE;A;tree;trees or shrubs
Eriocoelum-type;Eriocoelum;SAPINDACEAE;A;tree;trees or shrubs
Ganophyllum;Ganophyllum-type giganteum;SAPINDACEAE;A;tree;tree 30-40 m tall
Ganophyllum africanum-type;Ganophyllum-type giganteum;SAPINDACEAE;A;tree;tree 30-40 m tall
Ganophyllum-type africanum;Ganophyllum-type giganteum;SAPINDACEAE;A;tree;tree 30-40 m tall
Glenniea-type africana;Glenniea-type africana;SAPINDACEAE;A;tree;Tree, spreading, dioecious, 5-7-15-20 m tall, or shrub
Harpulia-type;Harpullia-type pendula;SAPINDACEAE;A;tree;small to medium sized tree attaining a height of 20 metres
Lecaniodiscus;Lecaniodiscus-type;SAPINDACEAE;A;tree;trees and shrubs
Lecaniodiscus sp.;Lecaniodiscus-type;SAPINDACEAE;A;tree;trees and shrubs
Lecaniodiscus-type;Lecaniodiscus-type;SAPINDACEAE;A;tree;trees and shrubs
Lepisanthes;Lepisanthes-type senegalensis;SAPINDACEAE;A;tree;evergreen tree to 16 m high
Lepisanthes-type senegalensis;Lepisanthes-type senegalensis;SAPINDACEAE;A;tree;evergreen tree to 16 m high
Majidea;Majidea;SAPINDACEAE;A;tree;shrubs or tall trees
Melanodiscus;Glenniea-type;SAPINDACEAE;A;tree;shrubs or trees, occasionally scandent
Melanodiscus-type oblongus;Glenniea-type africana;SAPINDACEAE;A;tree;Tree, spreading, dioecious, 5-7-15-20 m tall, or shrub
Pancovia;Pancovia-type;SAPINDACEAE;A;tree;small trees or shrubs
Pancovia bijuga;Pancovia-type bijuga;SAPINDACEAE;A;tree;small tree, much-branched
Pancovia-type;Pancovia-type;SAPINDACEAE;A;tree;small trees or shrubs
Pancovia-type bijuga;Pancovia-type bijuga;SAPINDACEAE;A;tree;small tree, much-branched
Pappea;Pappea capensis;SAPINDACEAE;A;tree;perennial-Tree, Shrub- Ht 1 - 13 m
Pappea capensis;Pappea capensis;SAPINDACEAE;A;tree;perennial-Tree, Shrub- Ht 1 - 13 m
Sapindaceae Dodonea;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
type Chiarina/Lepisanthes;Lecaniodiscus/Aphania;SAPINDACEAE;A;tree;trees and shrubs
Zahna;Zanha;SAPINDACEAE;A;tree;trees
Zanha golungensis;Zanha golungensis-type;SAPINDACEAE;A;tree;deciduous tree to 30 m tall
Zanha type;Zanha;SAPINDACEAE;A;tree;trees
Afrosersalisia;Synsepalum-type;SAPOTACEAE;A;tree;shrubs or trees
Aningeria;Pouteria-type;SAPOTACEAE;A;tree;unarmed trees or shrubs
Aningeria spp.;Pouteria-type;SAPOTACEAE;A;tree;unarmed trees or shrubs
Aniseia;Pouteria-type;SAPOTACEAE;A;tree;unarmed trees or shrubs
Bequaertiodendron;Englerophytum-type;SAPOTACEAE;A;tree;shrubs or trees
Butyrospemum (Sapotacea);Vitellaria-type paradoxa;SAPOTACEAE;A;tree;tree up to 20 m tall
Butyrospermum-type paradoxum;Vitellaria-type paradoxa;SAPOTACEAE;A;tree;tree up to 20 m tall
cf Sideroxylon;Sideroxylon-type;SAPOTACEAE;A;tree;spiny or unarmed trees or shrubs
cf. Sideroxylon;Sideroxylon-type;SAPOTACEAE;A;tree;spiny or unarmed trees or shrubs
Chrysophyllum-type bengweolense;Chrysophyllum-type bangweolense;SAPOTACEAE;A;tree;small tree, up to 7 m high
Labourdonnaisia-type;Labourdonnaisia-type;SAPOTACEAE;A;tree;shrubs, subshrubs, suffrutex or herbs
Manilkara butugi;Manilkara-type butugii;SAPOTACEAE;A;tree;evergreen tall tree up to 30 m tall
Manilkara sp.;Manilkara-type;SAPOTACEAE;A;tree;unarmed trees, rarely shrubs
Manilkara* butugi;Manilkara-type butugii;SAPOTACEAE;A;tree;evergreen tall tree up to 30 m tall
Manilkara-type butugi;Manilkara-type butugii;SAPOTACEAE;A;tree;evergreen tall tree up to 30 m tall
Manilkara-type lacera;Manilkara-type obovata;SAPOTACEAE;A;tree;medium-sized to tall tree up to 35 m tall
Mimusops kummel;Mimusops-type kummel;SAPOTACEAE;A;tree;evergreen small or medium-size tree, up to 25 m tall
MIMUSOPS*KUMMEL;Mimusops-type;SAPOTACEAE;A;tree;unarmed trees and shrubs
Mimusops-type kummel;Mimusops-type kummel;SAPOTACEAE;A;tree;evergreen small or medium-size tree, up to 25 m tall
Monotheca buxifolia;Sideroxylon-type mascatense;SAPOTACEAE;A;tree;spiny shrub or small tree up to 10 m tall
Pachystela brevipes;Synsepalum-type brevipes;SAPOTACEAE;A;tree;small to medium-sized tree up to 35 m high
Pouteria(Sapotaceae);Pouteria-type;SAPOTACEAE;A;tree;unarmed trees or shrubs
Pouteria-type;Pouteria-type;SAPOTACEAE;A;tree;unarmed trees or shrubs
R3cp 3 (Sapotaceae?);Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
SAPOTACEAE;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae (cf. Manilkara ou Sideroxylon );Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae (type 4);Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae comp.;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae type 1;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae undiff;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae undiff.;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae Undiff.;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae undiff. Argania spinosa;Argania spinosa;SAPOTACEAE;A;tree;tree 2-10 m high
Sapotaceae undiff. Sideroxylon-type;Sideroxylon-type;SAPOTACEAE;A;tree;spiny or unarmed trees or shrubs
Sapotaceae?;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae-type 1;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotaceae-type 4;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotacee (1);Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotacée (1);Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotacees;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sapotacées;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Sideroxylon;Sideroxylon-type;SAPOTACEAE;A;tree;spiny or unarmed trees or shrubs
Sideroxylon cf. S. grandiflorum;Sideroxylon-type grandiflorum;SAPOTACEAE;A;tree;tree
Sideroxylon cf. S. sessiliflorum;Sideroxylon-type sessiliflorum;SAPOTACEAE;A;tree;tree
Sideroxylon oxyacantha;Sideroxylon-type oxyacanthum;SAPOTACEAE;A;tree;spiny shrub or small tree, up to 10 m tall
Sideroxylon sp.;Sideroxylon-type;SAPOTACEAE;A;tree;spiny or unarmed trees or shrubs
SIDEROXYLON* OXYACANTHA;Sideroxylon-type oxyacanthum;SAPOTACEAE;A;tree;spiny shrub or small tree, up to 10 m tall
Sideroxylon-type;Sideroxylon-type;SAPOTACEAE;A;tree;spiny or unarmed trees or shrubs
Spiniluma oyacantha;Sideroxylon-type oxyacanthum;SAPOTACEAE;A;tree;spiny shrub or small tree, up to 10 m tall
Spiniluma-type oxyacantha;Sideroxylon-type oxyacanthum;SAPOTACEAE;A;tree;spiny shrub or small tree, up to 10 m tall
Synsepalum;Synsepalum-type;SAPOTACEAE;A;tree;shrubs or trees
T. Afrosersalisia;Synsepalum-type;SAPOTACEAE;A;tree;shrubs or trees
Tieghemella;Tieghemella-type;SAPOTACEAE;A;tree;Trees
type Mimusops;Mimusops-type;SAPOTACEAE;A;tree;unarmed trees and shrubs
Vitellaria;Vitellaria-type paradoxa;SAPOTACEAE;A;tree;tree up to 20 m tall
Vitellaria-type (V. paradoxa);Vitellaria-type paradoxa;SAPOTACEAE;A;tree;tree up to 20 m tall
Vitellaria-type paradoxa;Vitellaria-type paradoxa;SAPOTACEAE;A;tree;tree up to 20 m tall
Sarcolaenaceae;Sarcolaenaceae undiff.;SARCOLAENACEAE;A;tree;shrubs or trees
Sarcolaenaceae typeII (cf Leptolaena, Sarcolaena ou Rhodala);Sarcolaenaceae undiff.;SARCOLAENACEAE;A;tree;shrubs or trees
type Halleria;Halleria;SCROPHULARIACEAE;A;tree;evergreen shrubs or small trees
Scytopetalum;Scytopetalum-type;SCYTOPETALACEAE;A;tree;trees
Brucea;Brucea;SIMAROUBACEAE;A;tree;shrubs or small trees, often unbranched
BRUCEA  ANTIDYSENTERICA;Brucea antidysenterica-type;SIMAROUBACEAE;A;tree;evergreen shrub or small tree to 10 (-15) m tall
Brucea antidysenteria;Brucea antidysenterica-type;SIMAROUBACEAE;A;tree;evergreen shrub or small tree to 10 (-15) m tall
Brucea antidysenterica;Brucea antidysenterica-type;SIMAROUBACEAE;A;tree;evergreen shrub or small tree to 10 (-15) m tall
BRUCEA ANTIDYSENTERICA;Brucea antidysenterica-type;SIMAROUBACEAE;A;tree;evergreen shrub or small tree to 10 (-15) m tall
Brucea antidysenterica-type;Brucea antidysenterica-type;SIMAROUBACEAE;A;tree;evergreen shrub or small tree to 10 (-15) m tall
Brucea sp.;Brucea;SIMAROUBACEAE;A;tree;shrubs or small trees, often unbranched
Hannoa (cf);Quassia;SIMAROUBACEAE;A;tree;trees to 35 m high
Hannoa undulata-type;Quassia silvestris-type;SIMAROUBACEAE;A;tree;large tree 40 m high
Simaroubaceae;Simaroubaceae undiff.;SIMAROUBACEAE;A;tree;trees or shrubs
type Brucea;Brucea;SIMAROUBACEAE;A;tree;shrubs or small trees, often unbranched
LYCIUM;Lycium;SOLANACEAE;A;tree;spiny shrubs
Lycium sp.;Lycium;SOLANACEAE;A;tree;spiny shrubs
Solanaceae Discopodium;Discopodium;SOLANACEAE;A;tree;shrub or small tree, 15–20 ft. high
Solanum giganteum;Solanum-type giganteum;SOLANACEAE;A;tree;shrub or tree up to 7.5 m high
Sonneratia;Sonneratia alba;SONNERATIACEAE;A;tree;evergreen shrub or tree up to 15 m tall
Rhopalocarpus sp.;Rhopalocarpus;SPHAEROSEPALACEAE;A;tree;small to tall trees
cf Hidegardia;Hildegardia-type;STERCULIACEAE;A;tree;trees
Cola;Cola-type;STERCULIACEAE;A;tree;trees or shrubs
Cola cf. cordifolia;Cola cordifolia-type;STERCULIACEAE;A;tree;tree to 15 m high
Cola cordifolia-type;Cola cordifolia-type;STERCULIACEAE;A;tree;tree to 15 m high
Cola gigantea-type;Cola gigantea-type;STERCULIACEAE;A;tree;deciduous tree 15-35 m tall
Cola nitida;Cola-type nitida;STERCULIACEAE;A;tree;tree up to 25 m high
Cola sp.;Cola-type;STERCULIACEAE;A;tree;trees or shrubs
Cola_Sterculia;Cola/Sterculia;STERCULIACEAE;A;tree;shrubs or trees
Dombeya;Dombeya-type;STERCULIACEAE;A;tree;shrubs or small trees
Dombeya cf. bruceana;Dombeya-type torrida;STERCULIACEAE;A;tree;shrub or tree 20 m tall
Dombeya cf. D. bruceana;Dombeya-type torrida;STERCULIACEAE;A;tree;shrub or tree 20 m tall
Dombeya cf. D. schimperiana;Dombeya-type torrida;STERCULIACEAE;A;tree;shrub or tree 20 m tall
Dombeya cf. schimperiana;Dombeya-type torrida;STERCULIACEAE;A;tree;shrub or tree 20 m tall
Dombeya elliptica-type;Dombeya-type elliptica;STERCULIACEAE;A;tree;Shrub, Tree
Dombeya sp;Dombeya-type;STERCULIACEAE;A;tree;shrubs or small trees
Dombeya*;Dombeya-type;STERCULIACEAE;A;tree;shrubs or small trees
Dombeya-t;Dombeya-type;STERCULIACEAE;A;tree;shrubs or small trees
Heritiera;Heritiera littoralis;STERCULIACEAE;A;tree;tree (mangrove)
Hildegardia;Hildegardia-type;STERCULIACEAE;A;tree;trees
Leptocychia multiflora-type;Leptonychia moyesiae-type;STERCULIACEAE;A;tree;Evergreen shrub 1 – 3 (– 10) m tall.
Leptonychia spp.;Leptonychia;STERCULIACEAE;A;tree;shrubs or small trees
Mansonia altissima-type;Mansonia altissima-type;STERCULIACEAE;A;tree;deciduous tree to 30 m high
Mansonia-type;Mansonia;STERCULIACEAE;A;tree;trees
Nesogordonia papaverifa;Nesogordonia papaverifera-type;STERCULIACEAE;A;tree;tree to about 30 m high
Nesogordonia papaveriflolia;Nesogordonia papaverifera-type;STERCULIACEAE;A;tree;tree to about 30 m high
Octolobus;Octolobus;STERCULIACEAE;A;tree;trees
Scaphopetalum;Scaphopetalum;STERCULIACEAE;A;tree;Shrub
Sterculia;Sterculia-type;STERCULIACEAE;A;tree;trees
Sterculia setigera;Sterculia-type setigera;STERCULIACEAE;A;tree;deciduous tree to 12 m high
Sterculia sp.;Sterculia-type;STERCULIACEAE;A;tree;trees
Sterculia-t;Sterculia-type;STERCULIACEAE;A;tree;trees
Triplochiton;Triplochiton;STERCULIACEAE;A;tree;large trees
Triplochiton scleroxylon-type;Triplochiton scleroxylon-type;STERCULIACEAE;A;tree;large deciduous tree to 60 m high
Triplochiton Type;Triplochiton;STERCULIACEAE;A;tree;large trees
Asteraceae, fenestrat;Cichorieae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);annual or perennial herbs, rarely shrubs or trees
ASTERACEAE-TYPE;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteroideae;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Pappea-type capensis;Pappea capensis;SAPINDACEAE;A;tree;perennial-Tree, Shrub- Ht 1 - 13 m
Sapindaceae Filicium Typ;Filicium-type;SAPINDACEAE;A;tree;trees
type Lecaniodiscus;Lecaniodiscus-type;SAPINDACEAE;A;tree;trees and shrubs
Zanha;Zanha;SAPINDACEAE;A;tree;trees
Zanha golungensis-type;Zanha golungensis-type;SAPINDACEAE;A;tree;deciduous tree to 30 m tall
Zanha-type golungensis;Zanha golungensis-type;SAPINDACEAE;A;tree;deciduous tree to 30 m tall
Anigera;Pouteria-type;SAPOTACEAE;A;tree;unarmed trees or shrubs
Aningeria cf. adolfi-friedericii;Pouteria-type adolfi-friedericii;SAPOTACEAE;A;tree;evergreen tree up to 50 m tall
Aningeria-type;Pouteria-type;SAPOTACEAE;A;tree;unarmed trees or shrubs
Argania;Argania spinosa;SAPOTACEAE;A;tree;tree 2-10 m high
Botryospermum;Vitellaria-type paradoxa;SAPOTACEAE;A;tree;tree up to 20 m tall
Butyrospermum;Vitellaria-type paradoxa;SAPOTACEAE;A;tree;tree up to 20 m tall
Cf Sapotaceae;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
cf. Sapotaceae;Sapotaceae undiff.;SAPOTACEAE;A;tree;trees or shrubs
Chrysophyllum-type bangweolense;Chrysophyllum-type bangweolense;SAPOTACEAE;A;tree;small tree, up to 7 m high
Englerophytum;Englerophytum-type;SAPOTACEAE;A;tree;shrubs or trees
Manilkara;Manilkara-type;SAPOTACEAE;A;tree;unarmed trees, rarely shrubs
Manilkara lacera;Manilkara-type obovata;SAPOTACEAE;A;tree;medium-sized to tall tree up to 35 m tall
Manilkara type;Manilkara-type;SAPOTACEAE;A;tree;unarmed trees, rarely shrubs
Manilkara-type;Manilkara-type;SAPOTACEAE;A;tree;unarmed trees, rarely shrubs
Manilkara-type butugii;Manilkara-type butugii;SAPOTACEAE;A;tree;evergreen tall tree up to 30 m tall
Mimusops;Mimusops-type;SAPOTACEAE;A;tree;unarmed trees and shrubs
Mimusops cf. kummel;Mimusops-type kummel;SAPOTACEAE;A;tree;evergreen small or medium-size tree, up to 25 m tall
Mimusops type;Mimusops-type;SAPOTACEAE;A;tree;unarmed trees and shrubs
Mimusops-type;Mimusops-type;SAPOTACEAE;A;tree;unarmed trees and shrubs
Molinaea;Molinaea-type;SAPOTACEAE;A;tree;tree
Omphalocarpum;Omphalocarpum-type;SAPOTACEAE;A;tree;tree or shrub
Pouteria;Pouteria-type;SAPOTACEAE;A;tree;unarmed trees or shrubs
Hannoa;Quassia;SIMAROUBACEAE;A;tree;trees to 35 m high
Hannoa klaineana;Quassia silvestris-type;SIMAROUBACEAE;A;tree;large tree 40 m high
Kirkia;Kirkia;SIMAROUBACEAE;A;tree;trees or shrubs
Simarubaceae;Simaroubaceae undiff.;SIMAROUBACEAE;A;tree;trees or shrubs
Lycium;Lycium;SOLANACEAE;A;tree;spiny shrubs
Lycium (cf);Lycium;SOLANACEAE;A;tree;spiny shrubs
Lycium type;Lycium;SOLANACEAE;A;tree;spiny shrubs
Solanum cf. incanum;Solanum-type incanum;SOLANACEAE;A;tree;Shrub
type Lycium;Lycium;SOLANACEAE;A;tree;spiny shrubs
Rhopalocarpus similis;Rhopalocarpus similis-type;SPHAEROSEPALACEAE;A;tree;tree
cf Sterculia;Sterculia-type;STERCULIACEAE;A;tree;trees
Cola caricaefolia;Cola caricaefolia-type;STERCULIACEAE;A;tree;shrub or small tree 1-2 m tall
Cola cordifolia;Cola cordifolia-type;STERCULIACEAE;A;tree;tree to 15 m high
Cola gigantea;Cola gigantea-type;STERCULIACEAE;A;tree;deciduous tree 15-35 m tall
Cola heterophylla;Cola heterophylla-type;STERCULIACEAE;A;tree;shrub or small tree 1-3 m tall
Cola nitida-type;Cola-type nitida;STERCULIACEAE;A;tree;tree up to 25 m high
Cola/Sterculia;Cola/Sterculia;STERCULIACEAE;A;tree;shrubs or trees
Cola-type;Cola-type;STERCULIACEAE;A;tree;trees or shrubs
DOMBEYA;Dombeya-type;STERCULIACEAE;A;tree;shrubs or small trees
Dombeya cf. buetnerii;Dombeya-type buettneri;STERCULIACEAE;A;tree;weedy shrub
Dombeya cf. D. goetzenii;Dombeya-type torrida;STERCULIACEAE;A;tree;shrub or tree 20 m tall
Dombeya cf. goetzenii;Dombeya-type torrida;STERCULIACEAE;A;tree;shrub or tree 20 m tall
Dombeya dawei;Dombeya-type burgessiae;STERCULIACEAE;A;tree;shrub or tree 2-4 m tall
Dombeya quinqueseta;Dombeya-type quinqueseta;STERCULIACEAE;A;tree;shrub or tree  to 4.5 m high
Dombeya type;Dombeya-type;STERCULIACEAE;A;tree;shrubs or small trees
DOMBEYA*;Dombeya-type;STERCULIACEAE;A;tree;shrubs or small trees
Dombeya-type;Dombeya-type;STERCULIACEAE;A;tree;shrubs or small trees
Heritiera-type;Heritiera littoralis;STERCULIACEAE;A;tree;tree (mangrove)
Hildegardia barteri;Hildegardia-type barteri;STERCULIACEAE;A;tree;tree up to 30 m high
Leptonychia;Leptonychia;STERCULIACEAE;A;tree;shrubs or small trees
Mansonia;Mansonia;STERCULIACEAE;A;tree;trees
Mansonia cf altissima;Mansonia altissima-type;STERCULIACEAE;A;tree;deciduous tree to 30 m high
Nesogordonia;Nesogordonia;STERCULIACEAE;A;tree;trees
Nesogordonia papaverifera-type;Nesogordonia papaverifera-type;STERCULIACEAE;A;tree;tree to about 30 m high
Nesogordonia papaverifolia;Nesogordonia papaverifera-type;STERCULIACEAE;A;tree;tree to about 30 m high
Pterygota;Pterygota;STERCULIACEAE;A;tree;Deciduous tree
