Taxon (original name);Taxon (revised nomenclature);Family name;Pollen habit (code);Pollen habit (name);Plant habit
Hemizygia bracteosa-type;Syncolostemon bracteosus-type;LAMIACEAE;N;herb;erect pubescent annual herb up to 3 ft high
Hyptis brevipes Type, 12µm;Hyptis lanceolata-type;LAMIACEAE;N;herb;herbs
Hyptis pectinata-type;Mesosphaerum pectinatum-type;LAMIACEAE;N;herb;suffrutex 3 m high
Hyptis-type;Hyptis;LAMIACEAE;N;herb;annual or perennial herbs or suffrtutex
Labiatae cf Hyptis pectinata;Mesosphaerum pectinatum-type;LAMIACEAE;N;herb;suffrutex 3 m high
Lamiaceae t lavandula;Lavandula-type;LAMIACEAE;N;herb;perennial herbs or subshrubs
Lavandula-type;Lavandula-type;LAMIACEAE;N;herb;perennial herbs or subshrubs
Leonotis;Leonotis-type;LAMIACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs or suffrutex
Leonotis type;Leonotis-type;LAMIACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs or suffrutex
Hygrophilla;Hygrophila;ACANTHACEAE;N;herb;annual or perennial herbs
Hygrophylla;Hygrophila;ACANTHACEAE;N;herb;annual or perennial herbs
Hygrophylla-type;Hygrophila;ACANTHACEAE;N;herb;annual or perennial herbs
Justicia anselliana;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
Justicia anselliana*;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
Justicia anselliana-type;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
Justicia caerulea-type;Justicia-type caerulea;ACANTHACEAE;N;herb;erect, pubescent woody herb
Justicia cf. exigua;Justicia-type exigua;ACANTHACEAE;N;herb;annual-Herb- Ht 0.05 - 0.3 m.
Justicia cf. glabra;Justicia-type scandens;ACANTHACEAE;N;herb;perennial-Herb- Ht 0.3 - 1.5 m
Justicia flava;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
Justicia flava-type;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
Justicia striata-type;Justicia striata-type;ACANTHACEAE;N;herb;pubescent herb, with ascending stems, 0.3-1 (-1.8) m high or long
Justicia type caerulea/flava;Justicia-type caerulea;ACANTHACEAE;N;herb;erect, pubescent woody herb
Justicia type flava;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
JUSTICIA*FLAVA;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
Justicia-type anselliana;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
Justicia-type betonica;Justicia-type betonica;ACANTHACEAE;N;herb;erect or trailing herb from a woody rootstock
Justicia-Type flava;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
Justici-type striata;Justicia striata-type;ACANTHACEAE;N;herb;pubescent herb, with ascending stems, 0.3-1 (-1.8) m high or long
Justitia striata-type;Justicia striata-type;ACANTHACEAE;N;herb;pubescent herb, with ascending stems, 0.3-1 (-1.8) m high or long
Monechma ciliata;Monechma-type ciliatum;ACANTHACEAE;N;herb;herb, 30-60 cm high
Nelsonia;Nelsonia canescens;ACANTHACEAE;N;herb;prostrate herb
Peristrophe bicalycina;Dicliptera-type paniculata;ACANTHACEAE;N;herb;much branched herb to 2 m tall
Peristrophe-type;Peristrophe-type;ACANTHACEAE;N;herb;herbs
Phaulopsis ciliata;Phaulopsis-type ciliata;ACANTHACEAE;N;herb;herb
Phaulopsis-type imbricata;Phaulopsis-type imbricata;ACANTHACEAE;N;herb;herb
Ruellia* patula;Ruellia patula-type;ACANTHACEAE;N;herb;perennial-Herb- Ht 0.1 - 1 m
Thunbergia sericea-type;Thunbergia fischeri-type;ACANTHACEAE;N;herb;Perennial herb
type Asystasia;Asystasia gangetica-type;ACANTHACEAE;N;herb;straggling,creeping or climbing perennial herb, 0.4-3.0 m tall or long
type Blepharis;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
type Justicia anselliana;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
